07:14:24.826 FINE | Run command: java -Xmx1024m -classpath /home/oraziorillo/Documents/projects/github/logist_simulation_workspace/logist/logist.jar logist.LogistPlatform -o tournament/tournament_main_vs_conservative/auction-auction_main_38-auction_conservative.xml -a tournament/tournament_main_vs_conservative/agents.xml config/auction.xml auction_main_38 auction_conservative
07:14:25.012 CONFIG | Reading config/auction.xml
07:14:25.203 CONFIG | Reading config/settings_auction.xml
07:14:25.244 CONFIG | Reading config/topology/england.xml
07:14:25.267 CONFIG | Reading tournament/tournament_main_vs_conservative/agents.xml
07:14:25.304 CONFIG | Reading config/settings_auction.xml
07:14:25.329 CONFIG | Reading config/settings_auction.xml
07:14:25.392 CONFIG | Opponent bid lower bound estimate: 0.0
07:14:25.563 CONFIG | Future diss: 0.2746641467443699
07:14:25.563 CONFIG | Task: (Task 0, 3 kg, 69479 CHF, Cardiff -> Sheffield)
07:14:25.564 CONFIG | Marginal cost: 2191.0
07:14:25.564 CONFIG | Relative marginal cost: 1.0
07:14:25.565 CONFIG | Tentative bid: 1095.5
07:14:25.565 CONFIG | Bid: 1347
07:14:25.751 CONFIG | Opponent bids: 2766
07:14:25.752 CONFIG | WON AUCTION
07:14:25.752 CONFIG | 
07:14:25.758 CONFIG | Opponent bid lower bound estimate: 2766.0
07:14:26.253 CONFIG | Future diss: 0.1491137162396225
07:14:26.254 CONFIG | Task: (Task 1, 3 kg, 47516 CHF, Manchester -> Norwich)
07:14:26.254 CONFIG | Marginal cost: 2382.0
07:14:26.254 CONFIG | Relative marginal cost: 0.5208834463153291
07:14:26.254 CONFIG | Tentative bid: 3519.1374314687932
07:14:26.255 CONFIG | Bid: 2621
07:14:26.509 CONFIG | Opponent bids: 3279
07:14:26.510 CONFIG | WON AUCTION
07:14:26.511 CONFIG | 
07:14:26.511 CONFIG | Opponent bid lower bound estimate: 2379.900222162603
07:14:27.009 CONFIG | Future diss: 0.1491137162396225
07:14:27.009 CONFIG | Task: (Task 2, 3 kg, 68638 CHF, Cardiff -> Manchester)
07:14:27.010 CONFIG | Marginal cost: 0.0
07:14:27.010 CONFIG | Relative marginal cost: 0.0
07:14:27.010 CONFIG | Tentative bid: 0.0
07:14:27.010 CONFIG | Bid: 173
07:14:27.407 CONFIG | Opponent bids: 2790
07:14:27.408 CONFIG | WON AUCTION
07:14:27.408 CONFIG | 
07:14:27.408 CONFIG | Opponent bid lower bound estimate: 2408.133854904992
07:14:27.772 CONFIG | Future diss: 0.0872902022166349
07:14:27.773 CONFIG | Task: (Task 3, 3 kg, 55553 CHF, Sheffield -> Portsmouth)
07:14:27.773 CONFIG | Marginal cost: 748.0
07:14:27.773 CONFIG | Relative marginal cost: 0.14057507987220447
07:14:27.773 CONFIG | Tentative bid: 948.6901561998518
07:14:27.773 CONFIG | Bid: 1087
07:14:28.199 CONFIG | Opponent bids: 3031
07:14:28.199 CONFIG | WON AUCTION
07:14:28.200 CONFIG | 
07:14:28.200 CONFIG | Opponent bid lower bound estimate: 2527.8520053060033
07:14:28.587 CONFIG | Future diss: 0.08119149148015821
07:14:28.587 CONFIG | Task: (Task 4, 3 kg, 41305 CHF, Liverpool -> Norwich)
07:14:28.588 CONFIG | Marginal cost: 0.0
07:14:28.588 CONFIG | Relative marginal cost: 0.0
07:14:28.588 CONFIG | Tentative bid: 0.0
07:14:28.588 CONFIG | Bid: 1223
07:14:28.917 CONFIG | Opponent bids: 3626
07:14:28.917 CONFIG | WON AUCTION
07:14:28.917 CONFIG | 
07:14:28.918 CONFIG | Opponent bid lower bound estimate: 2464.871375691974
07:14:29.862 CONFIG | Future diss: 0.07024383111947681
07:14:29.862 CONFIG | Task: (Task 5, 3 kg, 85625 CHF, Norwich -> London)
07:14:29.862 CONFIG | Marginal cost: 201.0
07:14:29.862 CONFIG | Relative marginal cost: 0.03639985512495473
07:14:29.862 CONFIG | Tentative bid: 244.66830425898118
07:14:29.863 CONFIG | Bid: 1609
07:14:30.406 CONFIG | Opponent bids: 575
07:14:30.406 CONFIG | LOST AUCTION
07:14:30.407 CONFIG | 
07:14:30.407 CONFIG | Opponent bid lower bound estimate: 1430.2566539609334
07:14:30.982 CONFIG | Future diss: 0.07024383111947681
07:14:30.982 CONFIG | Task: (Task 6, 3 kg, 64503 CHF, Cardiff -> London)
07:14:30.982 CONFIG | Marginal cost: 0.0
07:14:30.983 CONFIG | Relative marginal cost: 0.0
07:14:30.983 CONFIG | Tentative bid: 0.0
07:14:30.983 CONFIG | Bid: 173
07:14:31.865 CONFIG | Opponent bids: 2401
07:14:31.866 CONFIG | WON AUCTION
07:14:31.866 CONFIG | 
07:14:31.866 CONFIG | Opponent bid lower bound estimate: 1363.741618362179
07:14:32.861 CONFIG | Future diss: 0.07024383111947681
07:14:32.861 CONFIG | Task: (Task 7, 3 kg, 68101 CHF, London -> Manchester)
07:14:32.861 CONFIG | Marginal cost: 0.0
07:14:32.862 CONFIG | Relative marginal cost: 0.0
07:14:32.862 CONFIG | Tentative bid: 0.0
07:14:32.862 CONFIG | Bid: 800
07:14:33.619 CONFIG | Opponent bids: 1307
07:14:33.619 CONFIG | WON AUCTION
07:14:33.619 CONFIG | 
07:14:33.619 CONFIG | Opponent bid lower bound estimate: 1532.15389709455
07:14:34.684 CONFIG | Future diss: 0.02967462994925277
07:14:34.684 CONFIG | Task: (Task 8, 3 kg, 41269 CHF, Plymouth -> Birmingham)
07:14:34.684 CONFIG | Marginal cost: 2448.0
07:14:34.684 CONFIG | Relative marginal cost: 0.3150984682713348
07:14:34.684 CONFIG | Tentative bid: 3328.364119607862
07:14:34.684 CONFIG | Bid: 1109
07:14:35.681 CONFIG | Opponent bids: 2031
07:14:35.681 CONFIG | WON AUCTION
07:14:35.681 CONFIG | 
07:14:35.683 CONFIG | Opponent bid lower bound estimate: 1513.4000691045476
07:14:38.006 CONFIG | Future diss: 0.02967462994925277
07:14:38.006 CONFIG | Task: (Task 9, 3 kg, 75780 CHF, Portsmouth -> Plymouth)
07:14:38.006 CONFIG | Marginal cost: 0.0
07:14:38.006 CONFIG | Relative marginal cost: 0.0
07:14:38.006 CONFIG | Tentative bid: 0.0
07:14:38.006 CONFIG | Bid: 1105
07:14:39.425 CONFIG | Opponent bids: 1226
07:14:39.426 CONFIG | WON AUCTION
07:14:39.426 CONFIG | 
07:14:39.426 CONFIG | Opponent bid lower bound estimate: 1383.09585991994
07:14:41.451 CONFIG | Future diss: 0.02967462994925277
07:14:41.451 CONFIG | Task: (Task 10, 3 kg, 85625 CHF, Birmingham -> Cardiff)
07:14:41.451 CONFIG | Marginal cost: 1725.0
07:14:41.451 CONFIG | Relative marginal cost: 0.18169370128502213
07:14:41.451 CONFIG | Tentative bid: 2223.782103252068
07:14:41.451 CONFIG | Bid: 1350
07:14:43.082 CONFIG | Opponent bids: 1382
07:14:43.082 CONFIG | WON AUCTION
07:14:43.268 CONFIG | 
07:14:43.268 CONFIG | Opponent bid lower bound estimate: 1116.092132180707
07:14:45.762 CONFIG | Future diss: 0.02967462994925277
07:14:45.762 CONFIG | Task: (Task 11, 3 kg, 55553 CHF, Portsmouth -> Sheffield)
07:14:45.762 CONFIG | Marginal cost: 0.0
07:14:45.763 CONFIG | Relative marginal cost: 0.0
07:14:45.763 CONFIG | Tentative bid: 0.0
07:14:45.763 CONFIG | Bid: 338
07:14:48.162 CONFIG | Opponent bids: 2783
07:14:48.320 CONFIG | WON AUCTION
07:14:48.320 CONFIG | 
07:14:48.320 CONFIG | Opponent bid lower bound estimate: 1617.6542327550449
07:14:51.320 CONFIG | Future diss: 0.02967462994925277
07:14:51.323 CONFIG | Task: (Task 12, 3 kg, 68638 CHF, Cardiff -> Manchester)
07:14:51.323 CONFIG | Marginal cost: 819.5
07:14:51.323 CONFIG | Relative marginal cost: 0.07945896155524312
07:14:51.323 CONFIG | Tentative bid: 1014.5837164895435
07:14:51.323 CONFIG | Bid: 1172
07:14:53.980 CONFIG | Opponent bids: 2338
07:14:53.980 CONFIG | WON AUCTION
07:14:54.181 CONFIG | 
07:14:54.181 CONFIG | Opponent bid lower bound estimate: 1928.4312320528002
07:14:57.608 CONFIG | Future diss: 0.006000473758291286
07:14:57.608 CONFIG | Task: (Task 13, 3 kg, 69390 CHF, Newcastle -> Manchester)
07:14:57.608 CONFIG | Marginal cost: -201.0
07:14:57.608 CONFIG | Relative marginal cost: -0.019876390605686033
07:14:57.608 CONFIG | Tentative bid: -239.33100651857276
07:14:57.608 CONFIG | Bid: 173
07:15:03.213 CONFIG | Opponent bids: 3623
07:15:03.213 CONFIG | WON AUCTION
07:15:03.213 CONFIG | 
07:15:03.214 CONFIG | Opponent bid lower bound estimate: 1405.4018388006893
07:15:08.869 CONFIG | Future diss: 0.006000473758291286
07:15:08.869 CONFIG | Task: (Task 14, 3 kg, 48501 CHF, Portsmouth -> Liverpool)
07:15:08.869 CONFIG | Marginal cost: 0.0
07:15:08.869 CONFIG | Relative marginal cost: 0.0
07:15:08.870 CONFIG | Tentative bid: 0.0
07:15:08.870 CONFIG | Bid: 255
07:15:14.323 CONFIG | Opponent bids: 2293
07:15:14.324 CONFIG | WON AUCTION
07:15:14.324 CONFIG | 
07:15:14.324 CONFIG | Opponent bid lower bound estimate: 1753.5931618132386
07:15:20.096 CONFIG | Future diss: 0.006000473758291286
07:15:20.096 CONFIG | Task: (Task 15, 3 kg, 85840 CHF, Sheffield -> Liverpool)
07:15:20.293 CONFIG | Marginal cost: 0.0
07:15:20.293 CONFIG | Relative marginal cost: 0.0
07:15:20.293 CONFIG | Tentative bid: 0.0
07:15:20.293 CONFIG | Bid: 1674
07:15:28.053 CONFIG | Opponent bids: 1707
07:15:28.054 CONFIG | WON AUCTION
07:15:28.054 CONFIG | 
07:15:28.054 CONFIG | Opponent bid lower bound estimate: 940.0659992794789
07:15:35.893 CONFIG | Future diss: 0.006000473758291286
07:15:35.894 CONFIG | Task: (Task 16, 3 kg, 85088 CHF, London -> Birmingham)
07:15:35.894 CONFIG | Marginal cost: 1147.5
07:15:35.894 CONFIG | Relative marginal cost: 0.10190941385435169
07:15:35.894 CONFIG | Tentative bid: 1433.3002855256007
07:15:35.894 CONFIG | Bid: 173
07:15:45.400 CONFIG | Opponent bids: 591
07:15:45.400 CONFIG | WON AUCTION
07:15:45.400 CONFIG | 
07:15:45.400 CONFIG | Opponent bid lower bound estimate: 704.6025697191526
07:15:54.669 CONFIG | Future diss: 0.006000473758291286
07:15:54.672 CONFIG | Task: (Task 17, 3 kg, 72236 CHF, Portsmouth -> Norwich)
07:15:54.672 CONFIG | Marginal cost: -899.5
07:15:54.672 CONFIG | Relative marginal cost: -0.0868201341634091
07:15:54.672 CONFIG | Tentative bid: -1043.434003274962
07:15:54.672 CONFIG | Bid: 173
07:16:06.779 CONFIG | Opponent bids: 1854
